Name,Specialization,ID,school,year,Generation,advisor_id
Yuri Boykov,artificial-intelligence-and-machine-learning,39437,['Cornell University'],['1996'],0,4759
Dan Brown,artificial-intelligence-and-machine-learning,45379,['Cornell University'],['2000'],0,36705
Wenhu Chen,artificial-intelligence-and-machine-learning,279263,"['University of California, Santa Barbara']",['2021'],0,279264;217154;
Robin Cohen,artificial-intelligence-and-machine-learning,58650,['University of Toronto'],['1983'],0,8755
Jesse Hoey,artificial-intelligence-and-machine-learning,167185,['University of British Columbia'],['2004'],0,72124
Gautam Kamath,artificial-intelligence-and-machine-learning,264772,['Massachusetts Institute of Technology'],['2018'],0,139732
Kate Larson,artificial-intelligence-and-machine-learning,119359,['Carnegie Mellon University'],['2004'],0,88145
Jimmy Lin,artificial-intelligence-and-machine-learning,0,['Massachusetts Institute of Technology'],['2004'],0,176620
Richard Mann,artificial-intelligence-and-machine-learning,131052,['University of Toronto'],['1997'],0,11836
Pascal Poupart,artificial-intelligence-and-machine-learning,97099,['University of Toronto'],['2005'],0,72088
Olga Veksler,artificial-intelligence-and-machine-learning,73583,['Cornell University'],['1999'],0,71514
Hongyang Zhang,artificial-intelligence-and-machine-learning,254910,['Carnegie Mellon University'],['2019'],0,148432;132986;
David Clay Heath,artificial-intelligence-and-machine-learning,4759,University of Illinois at Urbana-Champaign,1969,1,4758
David Bernard Shmoys,artificial-intelligence-and-machine-learning,36705,"University of California, Berkeley",1984,1,25276
Xifeng  Yan,artificial-intelligence-and-machine-learning,279264,University of Illinois at Urbana-Champaign,2006,1,72247
William Yang  Wang,artificial-intelligence-and-machine-learning,217154,Carnegie Mellon University,2016,1,70227
(Charles) Raymond  Perrault,artificial-intelligence-and-machine-learning,8755,University of Michigan,1975,1,8658;44546;
James J. Little,artificial-intelligence-and-machine-learning,72124,University of British Columbia,1985,1,72085
Constantinos  Daskalakis,artificial-intelligence-and-machine-learning,139732,"University of California, Berkeley",2008,1,46289
Tuomas Wilhelm Sandholm,artificial-intelligence-and-machine-learning,88145,University of Massachusetts Amherst,1996,1,88112
Boris  Katz,artificial-intelligence-and-machine-learning,176620,Lomonosov Moscow State University,1975,1,76951
Allan D. Jepson,artificial-intelligence-and-machine-learning,11836,California Institute of Technology,1981,1,12037
Craig Edgar Boutilier,artificial-intelligence-and-machine-learning,72088,University of Toronto,1992,1,5481
Ramin  Zabih,artificial-intelligence-and-machine-learning,71514,Stanford University,1994,1,71100
Maria-Florina Nina Balcan,artificial-intelligence-and-machine-learning,148432,Carnegie Mellon University,2008,1,33035
David P. Woodruff,artificial-intelligence-and-machine-learning,132986,Massachusetts Institute of Technology,2007,1,71081
Frank Bardsley Knight,artificial-intelligence-and-machine-learning,4758,Princeton University,1959,2,9629;33019;
Eugene Leighton Lawler,artificial-intelligence-and-machine-learning,25276,Harvard University,1963,2,13305
Jiawei  Han,artificial-intelligence-and-machine-learning,72247,University of Wisconsin-Madison,1985,2,82279
William Weston Cohen,artificial-intelligence-and-machine-learning,70227,"Rutgers University, New Brunswick",1990,2,70186
Joyce Barbara Friedman,artificial-intelligence-and-machine-learning,8658,Harvard University,1965,2,29869
William Chesley Rounds,artificial-intelligence-and-machine-learning,44546,Stanford University,1968,2,8024
Robert James Woodham,artificial-intelligence-and-machine-learning,72085,Massachusetts Institute of Technology,1977,2,61066
Christos H. Papadimitriou,artificial-intelligence-and-machine-learning,46289,Princeton University,1976,2,82018
Victor Richard Lesser,artificial-intelligence-and-machine-learning,88112,Stanford University,1973,2,88102
Evgenii Mikhailovich Landis,artificial-intelligence-and-machine-learning,76951,,1953,2,76948;55146;
Herbert Bishop Keller,artificial-intelligence-and-machine-learning,12037,New York University,1954,2,12042;13411;
Raymond  Reiter,artificial-intelligence-and-machine-learning,5481,University of Michigan,1967,2,25275;13812;
Oussama  Khatib,artificial-intelligence-and-machine-learning,71100,Institut supérieur de l'aéronautique et de l'espace,1980,2,61379
Avrim Louis Blum,artificial-intelligence-and-machine-learning,33035,Massachusetts Institute of Technology,1991,2,50081
Piotr  Indyk,artificial-intelligence-and-machine-learning,71081,Stanford University,2001,2,41471
Hale Freeman Trotter,artificial-intelligence-and-machine-learning,9629,Princeton University,1956,3,33019
William  Feller,artificial-intelligence-and-machine-learning,33019,Georg-August-Universität Göttingen,1926,3,7378
Anthony Gervin Oettinger,artificial-intelligence-and-machine-learning,13305,Harvard University,1954,3,18953
Larry  Travis,artificial-intelligence-and-machine-learning,82279,"University of California, Los Angeles",1966,3,15886
