Name,Specialization,ID,school,year,Generation,advisor_id
​Dan Brown,bioinformatics,45379,['Cornell University'],['2000'],0,36705
Lila Kari,bioinformatics,20521,['Turun yliopisto'],['1991'],0,20493
Ming Li,bioinformatics,94793,['Cornell University'],['1985'],0,10404
Ian Munro,bioinformatics,65036,['University of Toronto'],['1971'],0,42043
"Anita Layton (Department of Applied Mathematics, Faculty of Mathematics)",bioinformatics,65049,['University of Toronto'],['2001'],0,65023;59043;
David Bernard Shmoys,bioinformatics,36705,"University of California, Berkeley",1984,1,25276
Arto K. Salomaa,bioinformatics,20493,Turun yliopisto,1960,1,20538
Juris  Hartmanis,bioinformatics,10404,California Institute of Technology,1955,1,10395
Allan Bertram Borodin,bioinformatics,42043,Cornell University,1969,1,9041;10404;
Christina  Christara,bioinformatics,65023,,D.,1,None
Kenneth Ronald Jackson,bioinformatics,59043,University of Toronto,1978,1,17245
Eugene Leighton Lawler,bioinformatics,25276,Harvard University,1963,2,13305
Kustaa  Inkeri,bioinformatics,20538,Turun yliopisto,1946,2,19460
Robert Palmer Dilworth,bioinformatics,10395,California Institute of Technology,1939,2,10385
Robert Lee Constable,bioinformatics,9041,University of Wisconsin-Madison,1968,2,8012
Juris  Hartmanis,bioinformatics,10404,California Institute of Technology,1955,2,10395
Thomas E. Hull,bioinformatics,17245,University of Toronto,1949,2,16268
Anthony Gervin Oettinger,bioinformatics,13305,Harvard University,1954,3,18953
Kalle  Väisälä,bioinformatics,19460,Helsingin yliopisto,1916,3,782
Morgan  Ward,bioinformatics,10385,California Institute of Technology,1928,3,7868
Stephen Cole Kleene,bioinformatics,8012,Princeton University,1934,3,8011
Robert Palmer Dilworth,bioinformatics,10395,California Institute of Technology,1939,3,10385
Leopold  Infeld,bioinformatics,16268,Uniwersytet Jagielloński,1921,3,106278
Howard Hathaway Aiken,bioinformatics,18953,Harvard University,1939,4,25248
Ernst Leonard Lindelöf,bioinformatics,782,Helsingin yliopisto,1893,4,143865
