Name,Specialization,ID,school,year,Generation,advisor_id
Yousra Aafer ,cryptography-security-and-privacy-crysp,218594,['Syracuse University'],['2016'],0,81699
N. Asokan,cryptography-security-and-privacy-crysp,67046,['University of Waterloo'],['1998'],0,120682;66819;
Ian Goldberg,cryptography-security-and-privacy-crysp,70144,"['University of California, Berkeley']",['2000'],0,67451
Sergey Gorbunov,cryptography-security-and-privacy-crysp,203875,['Massachusetts Institute of Technology'],['2015'],0,133526
Mohammad Hajiabadi,cryptography-security-and-privacy-crysp,206018,['University of Victoria'],['2016'],0,72032
Urs Hengartner,cryptography-security-and-privacy-crysp,145850,['Carnegie Mellon University'],['2005'],0,50087
Doug Stinson (retired),cryptography-security-and-privacy-crysp,33044,['University of Waterloo'],['1981'],0,33040
Wenliang  Du,cryptography-security-and-privacy-crysp,81699,Purdue University,2001,1,47076;81691;
Michael   Waidner,cryptography-security-and-privacy-crysp,120682,Karlsruher Institut für Technologie (KIT),1991,1,120676;58017;
James P. Black,cryptography-security-and-privacy-crysp,66819,University of Waterloo,1982,1,66870;66871;
Eric Allen Brewer,cryptography-security-and-privacy-crysp,67451,Massachusetts Institute of Technology,1994,1,67447
Vinod  Vaikuntanathan,cryptography-security-and-privacy-crysp,133526,Massachusetts Institute of Technology,2008,1,35879
Bruce M. Kapron,cryptography-security-and-privacy-crysp,72032,University of Toronto,1991,1,14011
Peter Alfons Steenkiste,cryptography-security-and-privacy-crysp,50087,Stanford University,1987,1,40909
Ronald C. Mullin,cryptography-security-and-privacy-crysp,33040,University of Waterloo,1964,1,15096
Mikhail Jibrayil Atallah,cryptography-security-and-privacy-crysp,47076,The Johns Hopkins University,1982,2,50660
Eugene Howard Spafford,cryptography-security-and-privacy-crysp,81691,Georgia Institute of Technology,1986,2,52892;106989;
Winfried   Görke,cryptography-security-and-privacy-crysp,120676,Karlsruher Institut für Technologie (KIT),1965,2,None
Rüdiger  Reischuk,cryptography-security-and-privacy-crysp,58017,Universität Bielefeld,1980,2,21130
David J. Taylor,cryptography-security-and-privacy-crysp,66870,University of Waterloo,1977,2,66871
David E. Morgan,cryptography-security-and-privacy-crysp,66871,University of Waterloo,1971,2,66872
William Edward Weihl,cryptography-security-and-privacy-crysp,67447,Massachusetts Institute of Technology,1984,2,61932
Shafrira  Goldwasser,cryptography-security-and-privacy-crysp,35879,"University of California, Berkeley",1984,2,13373
Stephen Arthur Cook,cryptography-security-and-privacy-crysp,14011,Harvard University,1966,2,29869
John Leroy Hennessy,cryptography-security-and-privacy-crysp,40909,State University of New York at Stony Brook,1977,2,94545
William Thomas Tutte,cryptography-security-and-privacy-crysp,15096,University of Cambridge,1948,2,1406
Sambasiva Rao Kosaraju,cryptography-security-and-privacy-crysp,50660,University of Pennsylvania,1969,3,129486;53467;
Partha  Dasgupta,cryptography-security-and-privacy-crysp,52892,State University of New York at Stony Brook,1984,3,11624
Martin Stewart McKendry,cryptography-security-and-privacy-crysp,106989,University of Illinois at Urbana-Champaign,1982,3,94846
Wolfgang Jakob  Paul,cryptography-security-and-privacy-crysp,21130,Universität des Saarlandes,1973,3,21668
David E. Morgan,cryptography-security-and-privacy-crysp,66871,University of Waterloo,1971,3,66872
Eric G. Manning,cryptography-security-and-privacy-crysp,66872,University of Illinois at Urbana-Champaign,1965,3,92718
Barbara Jane Huberman Liskov,cryptography-security-and-privacy-crysp,61932,Stanford University,1968,3,22145
Manuel  Blum,cryptography-security-and-privacy-crysp,13373,Massachusetts Institute of Technology,1964,3,6869
Hao  Wang,cryptography-security-and-privacy-crysp,29869,Harvard University,1948,3,73831
