Name,Specialization,ID,school,year,Generation,advisor_id
Charles Clarke,data-systems,66869,['University of Waterloo'],['1996'],0,66818
Gordon Cormack,data-systems,66818,['University of Manitoba'],['1981'],0,80823
Lukasz Golab (Dept. of Management Sciences),data-systems,102378,['University of Waterloo'],['2006'],0,72390
Ihab Ilyas,data-systems,125917,['Purdue University'],['2004'],0,117312;96256;
Jimmy Lin,data-systems,0,['Massachusetts Institute of Technology'],['2004'],0,176620
Kenneth Salem,data-systems,66887,['Princeton University'],['1989'],0,70978
Semih Salihoglu,data-systems,286451,['Stanford University'],['2015'],0,70979
David Toman,data-systems,70807,['Kansas State University'],['1996'],0,70371
Frank Tompa,data-systems,66879,['University of Toronto'],['1974'],0,24934
Grant Weddell,data-systems,66877,['University of Toronto'],['1987'],0,79993
Gordon Villy Cormack,data-systems,66818,University of Manitoba,1981,1,80823
Peter R. King,data-systems,80823,,D.,1,None
M. Tamer (Mehmet) Ozsu,data-systems,72390,The Ohio State University,1983,1,79360
Walid G. Aref,data-systems,117312,University of Maryland College Park,1993,1,41489
Ahmed Khalifa Elmagarmid,data-systems,96256,The Ohio State University,1985,1,None
Boris  Katz,data-systems,176620,Lomonosov Moscow State University,1975,1,76951
Hector  Garcia-Molina,data-systems,70978,Stanford University,1979,1,70996
Jennifer  Widom,data-systems,70979,Cornell University,1987,1,22781
Jan Oskar Chomicki,data-systems,70371,"Rutgers University, New Brunswick",1990,1,70225
Calvin Carl Gotlieb,data-systems,24934,University of Toronto,1947,1,16275
Stavros C. Christodoulakis,data-systems,79993,University of Toronto,1981,1,66903
Peter R. King,data-systems,80823,,D.,2,None
Bruce Warren Weide,data-systems,79360,Carnegie Mellon University,1979,2,102419
Hanan  Samet,data-systems,41489,Stanford University,1975,2,23037
Evgenii Mikhailovich Landis,data-systems,76951,,1953,2,55146;76948;
Gio(vanni) Corrado Melchiore Wiederhold,data-systems,70996,"University of California, San Francisco",1976,2,5709
David  Gries,data-systems,22781,Technische Universität München,1966,2,21622;21232;
Tomasz  Imielinski,data-systems,70225,Polska Akademia Nauk,1981,2,70822
Eli Franklin Burton,data-systems,16275,University of Toronto,1910,2,265395
Kenneth Clem Sevcik,data-systems,66903,The University of Chicago,1972,2,79967
Michael Ian Shamos,data-systems,102419,Yale University,1978,3,69526
Vinton Gray Cerf,data-systems,23037,"University of California, Los Angeles",1972,3,69930
Ivan Georgievich Petrovsky,data-systems,55146,Lomonosov Moscow State University,ity,3,24109
Aleksandr Semenovich Kronrod,data-systems,76948,,1949,3,10479
