Name,Specialization,ID,school,year,Generation,advisor_id
Christopher Batty,scientific-computation,147355,['University of British Columbia'],['2010'],0,70795
Peter Forsyth,scientific-computation,66894,['University of Western Ontario'],['1979'],0,68238
Alan George,scientific-computation,50835,['Stanford University'],['1971'],0,4319
George Labahn,scientific-computation,87911,['University of Alberta'],['1988'],0,72398
Anita Layton (Cross appointed from the Department of Applied Mathematics),scientific-computation,65049,['University of Toronto'],['2001'],0,59043;65023;
Yuying Li,scientific-computation,66915,['University of Waterloo'],['1988'],0,42579
Robert  Bridson,scientific-computation,70795,Stanford University,2003,1,36653
Henning  Rasmussen,scientific-computation,68238,University of Queensland,1968,1,14740
George Elmer Forsythe,scientific-computation,4319,Brown University,1941,1,4740;33019;
Stanley  Cabay,scientific-computation,72398,University of Toronto,1971,1,33269
Kenneth Ronald Jackson,scientific-computation,59043,University of Toronto,1978,1,17245
Christina  Christara,scientific-computation,65023,,D.,1,None
Andrew Roger Conn,scientific-computation,42579,University of Waterloo,1971,1,66902
Ronald Paul Fedkiw,scientific-computation,36653,"University of California, Los Angeles",1996,2,11645
A. Fenton Pillow,scientific-computation,14740,University of Cambridge,1950,2,30467
Jacob David Tamarkin,scientific-computation,4740,St. Petersburg State University,1917,2,12543
William  Feller,scientific-computation,33019,Georg-August-Universität Göttingen,1926,2,7378
Anthony  Zeppetella,scientific-computation,33269,New York University,1976,2,33017
Thomas E. Hull,scientific-computation,17245,University of Toronto,1949,2,16268
Tomasz  Pietrzykowski,scientific-computation,66902,Polska Akademia Nauk,1960,2,None
Stanley Joel Osher,scientific-computation,11645,New York University,1966,3,13409
George Keith Batchelor,scientific-computation,30467,University of Cambridge,1948,3,18588
Andrei Andreyevich Markov,scientific-computation,12543,St. Petersburg State University,1884,3,12542
Richard  Courant,scientific-computation,7378,Georg-August-Universität Göttingen,1910,3,7298
"Henry P. McKean, Jr.",scientific-computation,33017,Princeton University,1955,3,33019
Leopold  Infeld,scientific-computation,16268,Uniwersytet Jagielloński,1921,3,106278
Jacob Theodore (Jack) Schwartz,scientific-computation,13409,Yale University,1951,4,4299
Geoffrey Ingram Taylor,scientific-computation,18588,University of Cambridge,dge,4,50701
Pafnuty Lvovich Chebyshev,scientific-computation,12542,St. Petersburg State University,1849,4,12541
David  Hilbert,scientific-computation,7298,Universität Königsberg,1885,4,7404
William  Feller,scientific-computation,33019,Georg-August-Universität Göttingen,1926,4,7378
Władysław  Natanson,scientific-computation,106278,University of Cambridge,dge,4,50701
Nelson  Dunford,scientific-computation,4299,Brown University,1936,5,4740
Joseph John Thomson,scientific-computation,50701,University of Cambridge,1883,5,101979
Nikolai Dmitrievich Brashman,scientific-computation,12541,Kazan State University and Lomonosov Moscow State University,1834,5,12540;259973;146776;
C. L. Ferdinand (Carl Louis) Lindemann,scientific-computation,7404,Friedrich-Alexander-Universität Erlangen-Nürnberg,1873,5,7401
Richard  Courant,scientific-computation,7378,Georg-August-Universität Göttingen,1910,5,7298
Joseph John Thomson,scientific-computation,50701,University of Cambridge,1883,5,101979
Jacob David Tamarkin,scientific-computation,4740,St. Petersburg State University,1917,6,12543
John William Strutt (Lord Rayleigh),scientific-computation,101979,University of Cambridge,1868,6,101929;102483;
Joseph Johann von Littrow,scientific-computation,12540,Universität Wien,1838,6,None
Mikhail Vasilyevich  Ostrogradsky,scientific-computation,259973,Université de Paris,1823,6,55177;17865;
Nikolai Ivanovich Lobachevsky,scientific-computation,146776,Kazan State University,ity,6,122737;151180;
C. Felix (Christian) Klein,scientific-computation,7401,Rheinische Friedrich-Wilhelms-Universität Bonn,1868,6,7402;19964;
David  Hilbert,scientific-computation,7298,Universität Königsberg,1885,6,7404
John William Strutt (Lord Rayleigh),scientific-computation,101979,University of Cambridge,1868,6,101929;102483;
Andrei Andreyevich Markov,scientific-computation,12543,St. Petersburg State University,1884,7,12542
