Name,Specialization,ID,school,year,Generation,advisor_id
Paulo Alencar,software-engineering,227840,[''],[''],0,None
Joanne Atlee,software-engineering,66892,['University of Maryland College Park'],['1992'],0,103306
Daniel Berry,software-engineering,14473,['Brown University'],['1974'],0,15166;13683;
Donald Cowan,software-engineering,66817,['University of Waterloo'],['1965'],0,15914
Nancy Day,software-engineering,72132,['University of British Columbia'],['1998'],0,72125
Michael Godfrey,software-engineering,90655,['University of Toronto'],['1997'],0,67141
Shane McIntosh,software-engineering,220043,"[""Queen's University at Kingston""]",['2015'],0,90657
Chengnian Sun,software-engineering,185328,['National University of Singapore'],['2013'],0,4794;72059;
Richard Trefler,software-engineering,69919,['University of Texas at Austin'],['1999'],0,69873
"John Dennis Gannon, Jr.",software-engineering,103306,University of Toronto,1975,1,13815
Peter  Wegner,software-engineering,15166,University of London,1968,1,143090
"Clement Leo McGowan, III",software-engineering,13683,Cornell University,1971,1,15166;10404;
Gerald  Berman,software-engineering,15914,University of Toronto,1950,1,12555
Jeffrey John Joyce,software-engineering,72125,University of Cambridge,1990,1,86294
Richard Craig Holt,software-engineering,67141,Cornell University,1971,1,88103
Ahmed  Hassan,software-engineering,90657,University of Waterloo,2005,1,67141
Yeneng  Sun,software-engineering,4794,University of Illinois at Urbana-Champaign,1989,1,4787
Xiao  Luo,software-engineering,72059,University of Victoria,1993,1,72031
E. Allen (Ernest) Emerson,software-engineering,69873,Harvard University,1981,1,50063
James Jay Horning,software-engineering,13815,Stanford University,1969,2,13120
Maurice Vincent Wilkes,software-engineering,143090,University of Cambridge,1937,2,147661
Peter  Wegner,software-engineering,15166,University of London,1968,2,143090
Juris  Hartmanis,software-engineering,10404,California Institute of Technology,1955,2,10395
H. S. M. (Harold Scott MacDonald) Coxeter,software-engineering,12555,University of Cambridge,1931,2,13135
Michael J. C. Gordon,software-engineering,86294,The University of Edinburgh,1973,2,102542
Alan Cary Shaw,software-engineering,88103,Stanford University,1968,2,88102
Richard Craig Holt,software-engineering,67141,Cornell University,1971,2,88103
Peter Albert Loeb,software-engineering,4787,Stanford University,1965,2,8310
Jon C. Muzio,software-engineering,72031,,D.,2,None
"Edmund Melson Clarke, Jr.",software-engineering,50063,Cornell University,1976,2,9041
Jerome Arthur Feldman,software-engineering,13120,Carnegie Mellon University,1964,3,13112
John Ashworth Ratcliffe,software-engineering,147661,University of Cambridge,1924,3,112651
Maurice Vincent Wilkes,software-engineering,143090,University of Cambridge,1937,3,147661
Robert Palmer Dilworth,software-engineering,10395,California Institute of Technology,1939,3,10385
Henry Frederick Baker,software-engineering,13135,University of Cambridge,dge,3,7824
Rodney Martineau Burstall,software-engineering,102542,University of Birmingham,1966,3,133637;133638;
William Frederick Miller,software-engineering,88102,Purdue University,1956,3,128356
Alan Cary Shaw,software-engineering,88103,Stanford University,1968,3,88102
"Halsey Lawrence Royden, Jr.",software-engineering,8310,Harvard University,1951,3,1430
Robert Lee Constable,software-engineering,9041,University of Wisconsin-Madison,1968,3,8012
Alan Jay Perlis,software-engineering,13112,Massachusetts Institute of Technology,1950,4,1488
Edward Victor Appleton,software-engineering,112651,University of Cambridge,1913,4,50699;50701;
John Ashworth Ratcliffe,software-engineering,147661,University of Cambridge,1924,4,112651
Morgan  Ward,software-engineering,10385,California Institute of Technology,1928,4,7868
Arthur  Cayley,software-engineering,7824,Universiteit Leiden and University College Dublin and University of Oxford,1875,4,42016
Norman Alfred Dudley,software-engineering,133637,University of Birmingham,1955,4,170791;170790;
K. Brian Haley,software-engineering,133638,University of Birmingham,1962,4,None
Robert Leroy Platzman,software-engineering,128356,The University of Chicago,1942,4,126428
William Frederick Miller,software-engineering,88102,Purdue University,1956,4,128356
Lars Valerian Ahlfors,software-engineering,1430,Helsingin yliopisto,1932,4,18689;782;
Stephen Cole Kleene,software-engineering,8012,Princeton University,1934,4,8011
Philip  Franklin,software-engineering,1488,Princeton University,1921,5,805
Ernest  Rutherford,software-engineering,50699,University of Cambridge,dge,5,50701
Joseph John Thomson,software-engineering,50701,University of Cambridge,1883,5,101979
Edward Victor Appleton,software-engineering,112651,University of Cambridge,1913,5,50699;50701;
Eric Temple Bell,software-engineering,7868,Columbia University,1912,5,7611;37346;
William  Hopkins,software-engineering,42016,University of Cambridge,1830,5,102043
F.  Benson,software-engineering,170791,,ee,5,None
Elsie Anna Grace Knowles,software-engineering,170790,Friedrich-Schiller-Universität Jena,1932,5,181026
James  Franck,software-engineering,126428,Humboldt-Universität zu Berlin,1906,5,124661;62397;
