Name,Specialization,ID,school,year,Generation,advisor_id
Raouf Boutaba,systems-and-networking,73170,[''],['D.'],0,None
Tim Brecht,systems-and-networking,91384,['University of Toronto'],['1994'],0,67136
Ian Goldberg,systems-and-networking,70144,"['University of California, Berkeley']",['2000'],0,67451
Sergey Gorbunov,systems-and-networking,203875,['Massachusetts Institute of Technology'],['2015'],0,133526
Urs Hengartner,systems-and-networking,145850,['Carnegie Mellon University'],['2005'],0,50087
Srinivasan Keshav,systems-and-networking,73556,"['University of California, Berkeley']",['1991'],0,32850
Ali Mashtizadeh,systems-and-networking,233022,['Stanford University'],['2017'],0,61965
David Taylor,systems-and-networking,66870,['University of Waterloo'],['1977'],0,66871
Richard Trefler,systems-and-networking,69919,['University of Texas at Austin'],['1999'],0,69873
Paul Ward,systems-and-networking,66942,['University of Waterloo'],['2002'],0,66870
Johnny Wong,systems-and-networking,66882,"['University of California, Los Angeles']",['1975'],0,70476
Songnian  Zhou,systems-and-networking,67136,"University of California, Berkeley",1987,1,32850
Eric Allen Brewer,systems-and-networking,67451,Massachusetts Institute of Technology,1994,1,67447
Vinod  Vaikuntanathan,systems-and-networking,133526,Massachusetts Institute of Technology,2008,1,35879
Peter Alfons Steenkiste,systems-and-networking,50087,Stanford University,1987,1,40909
Domenico  Ferrari,systems-and-networking,32850,Politecnico di Milano,1963,1,158121
David Folkman Mazières,systems-and-networking,61965,Massachusetts Institute of Technology,2000,1,61950
David E. Morgan,systems-and-networking,66871,University of Waterloo,1971,1,66872
E. Allen (Ernest) Emerson,systems-and-networking,69873,Harvard University,1981,1,50063
David J. Taylor,systems-and-networking,66870,University of Waterloo,1977,1,66871
Richard Robert Muntz,systems-and-networking,70476,Princeton University,1969,1,82027
Domenico  Ferrari,systems-and-networking,32850,Politecnico di Milano,1963,2,158121
William Edward Weihl,systems-and-networking,67447,Massachusetts Institute of Technology,1984,2,61932
Shafrira  Goldwasser,systems-and-networking,35879,"University of California, Berkeley",1984,2,13373
John Leroy Hennessy,systems-and-networking,40909,State University of New York at Stony Brook,1977,2,94545
Luigi  Dadda,systems-and-networking,158121,Politecnico di Milano,1947,2,158188
M. Frans (Marinus) Kaashoek,systems-and-networking,61950,Vrije Universiteit Amsterdam,1992,2,69777
Eric G. Manning,systems-and-networking,66872,University of Illinois at Urbana-Champaign,1965,2,92718
"Edmund Melson Clarke, Jr.",systems-and-networking,50063,Cornell University,1976,2,9041
David E. Morgan,systems-and-networking,66871,University of Waterloo,1971,2,66872
"Edward Grady Coffman, Jr.",systems-and-networking,82027,"University of California, Los Angeles",1966,2,24334
Luigi  Dadda,systems-and-networking,158121,Politecnico di Milano,1947,3,158188
Barbara Jane Huberman Liskov,systems-and-networking,61932,Stanford University,1968,3,22145
Manuel  Blum,systems-and-networking,13373,Massachusetts Institute of Technology,1964,3,6869
Richard Bruce Kieburtz,systems-and-networking,94545,University of Washington,1961,3,21212
Ercole  Bottani,systems-and-networking,158188,Politecnico di Milano,1922,3,None
