Name,Specialization,ID
​Shai Ben-David,algorithms-and-complexity,
Shalev Ben-David,algorithms-and-complexity,251553
Therese Biedl,algorithms-and-complexity,96437
Eric Blais,algorithms-and-complexity,162538
Dan Brown,algorithms-and-complexity,45379
Trevor Brown,algorithms-and-complexity,252543
Jonathan Buss,algorithms-and-complexity,65073
Richard Cleve,algorithms-and-complexity,81270
Gautam Kamath,algorithms-and-complexity,264772
Lila Kari,algorithms-and-complexity,20521
Lap Chi Lau,algorithms-and-complexity,141559
Ming Li,algorithms-and-complexity,94793
Anna Lubiw,algorithms-and-complexity,65035
Ian Munro,algorithms-and-complexity,65036
Naomi Nishimura,algorithms-and-complexity,66900
Prabhakar Ragde,algorithms-and-complexity,66895
Jeffrey Shallit,algorithms-and-complexity,31748
Doug Stinson,algorithms-and-complexity,33044
John Watrous,algorithms-and-complexity,75330
Yuri Boykov,artificial-intelligence-and-machine-learning,39437
Wenhu Chen,artificial-intelligence-and-machine-learning,279263
Robin Cohen,artificial-intelligence-and-machine-learning,58650
Jesse Hoey,artificial-intelligence-and-machine-learning,167185
Kate Larson,artificial-intelligence-and-machine-learning,119359
Jimmy Lin,artificial-intelligence-and-machine-learning,Advisor is Boris Katz
Richard Mann,artificial-intelligence-and-machine-learning,131052
Pascal Poupart,artificial-intelligence-and-machine-learning,97099
Olga Veksler,artificial-intelligence-and-machine-learning,73583
Hongyang Zhang,artificial-intelligence-and-machine-learning,254910
"Anita Layton (Department of Applied Mathematics, Faculty of Mathematics)",bioinformatics,65049
Christopher Batty,computer-graphics,147355
William Cowan,computer-graphics,66906
Craig Kaplan,computer-graphics,78067
Stephen Mann,computer-graphics,71953
Yousra Aafer ,cryptography-security-and-privacy-crysp,218594
N. Asokan,cryptography-security-and-privacy-crysp,67046
Ian Goldberg,cryptography-security-and-privacy-crysp,70144
Sergey Gorbunov,cryptography-security-and-privacy-crysp,203875
Mohammad Hajiabadi,cryptography-security-and-privacy-crysp,206018
Urs Hengartner,cryptography-security-and-privacy-crysp,145850
Charles Clarke,data-systems,66869
Gordon Cormack,data-systems,66818
Lukasz Golab (Dept. of Management Sciences),data-systems,102378
Ihab Ilyas,data-systems,125917
Kenneth Salem,data-systems,66887
Semih Salihoglu,data-systems,286451
David Toman,data-systems,70807
Frank Tompa,data-systems,66879
Grant Weddell,data-systems,66877
Joanne Atlee,formal-methods,66892
Nancy Day,formal-methods,72132
Richard Trefler,formal-methods,69919
Vijay Ganesh (Department of Electrical and Computer Engineering),formal-methods,121250
Derek Rayside (Department of Electrical and Computer Engineering),formal-methods,252767 (unknown advisor but phD in MIT)
Johnny Wong,health-informatics,66882
Yizhou Zhang,programming-languages,273183
Brad Lushman,programming-languages,111760
"Werner Dietl (Department of Electrical and Computer Engineering, Faculty of Engineering)",programming-languages,142874
"Patrick Lam (Department of Electrical and Computer Engineering, Faculty of Engineering)",programming-languages,103216
Peter Forsyth,scientific-computation,66894
Alan George,scientific-computation,50835
George Labahn,scientific-computation,87911
Yuying Li,scientific-computation,66915
Paulo Alencar,software-engineering,227840
Daniel Berry,software-engineering,14473
Donald Cowan,software-engineering,66817
Michael Godfrey,software-engineering,90655
Shane McIntosh,software-engineering,220043
Chengnian Sun,software-engineering,185328
Raouf Boutaba,systems-and-networking,73170
Tim Brecht,systems-and-networking,91384
Srinivasan Keshav,systems-and-networking,73556
Ali Mashtizadeh,systems-and-networking,233022
David Taylor,systems-and-networking,66870
Paul Ward,systems-and-networking,66942
